VirusTaxID,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusNCBIResolved,ICTVRatified
333754,alphapapillomavirus 10,alphapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
337049,alphapapillomavirus 11,alphapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
10570,alphapapillomavirus 12,alphapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
333766,alphapapillomavirus 13,alphapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
931244,alphapapillomavirus 14,alphapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
337039,alphapapillomavirus 2,alphapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
333767,alphapapillomavirus 3,alphapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
337043,alphapapillomavirus 4,alphapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
337044,alphapapillomavirus 5,alphapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
337050,alphapapillomavirus 6,alphapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
337042,alphapapillomavirus 7,alphapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
333757,alphapapillomavirus 8,alphapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
337041,alphapapillomavirus 9,alphapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
2955294,alphapironavirus salmonis,alphapironavirus,coronaviridae,nidovirales,pisoniviricetes,TRUE,TRUE
1891717,alphapolyomavirus acelebensis,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
2170408,alphapolyomavirus aflavicollis,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
1236391,alphapolyomavirus apaniscus,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
2721748,alphapolyomavirus callosciuri,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
1891718,alphapolyomavirus cardiodermae,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
1606502,alphapolyomavirus carolliae,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
1891719,alphapolyomavirus chlopygerythrus,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
1891721,alphapolyomavirus dobsoniae,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
2951617,alphapolyomavirus eidoli,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
1891725,alphapolyomavirus gorillae,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
2955295,alphapolyomavirus macacae,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
1891729,alphapolyomavirus mauratus,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
2955296,alphapolyomavirus mischreibersii,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
1606504,alphapolyomavirus molossi,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
1891730,alphapolyomavirus muris,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
2955297,alphapolyomavirus nonihominis,alphapolyomavirus,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,TRUE
